,compound,preverb,simplex
349,ἀνασπάω,ἀνά,σπάω
350,ἀνασπαράσσω,ἀνά,σπαράσσω
351,ἀνασταυρόω,ἀνά,σταυρόω
352,ἀναστέφω,ἀνά,στέφω
353,ἀναστέλλω,ἀνά,στέλλω
354,ἀναστένω,ἀνά,στένω
355,ἀναστείβω,ἀνά,στείβω
356,ἀναστενάχω,ἀνά,στενάχω
357,ἀναστενάζω,ἀνά,στενάζω
358,ἀναστεναχίζω,ἀνά,στεναχίζω
359,ἀναστηρίζω,ἀνά,στηρίζω
360,ἀναστομόω,ἀνά,στομόω
361,ἀναστρέφω,ἀνά,στρέφω
362,ἀναστρωφάω,ἀνά,στρωφάω
363,ἀνασύρομαι,ἀνά,σύρω
364,ἀνασῴζω,ἀνά,σώζω
365,ἀνασχίζω,ἀνά,σχίζω
366,ἀναταράσσω,ἀνά,ταράσσω
367,ἀνατέλλω,ἀνά,τέλλω
368,ἀνατέμνω,ἀνά,τέμνω
369,ἀνατείνω,ἀνά,τείνω
370,ἀνατειχίζω,ἀνά,τειχίζω
371,ἀνατίθημι,ἀνά,τίθημι
372,ἀνατιμάω,ἀνά,τιμάω
373,ἀνατινάσσω,ἀνά,τινάσσω
374,ἀνατλῆναι,ἀνά,τλάω
375,ἀνατολμάω,ἀνά,τολμάω
376,ἀνατρέφω,ἀνά,τρέφω
377,ἀνατρέπω,ἀνά,τρέπω
378,ἀνατρέχω,ἀνά,τρέχω
379,ἀνατρίβω,ἀνά,τρίβω
380,ἀνατυλίσσω,ἀνά,τυλίσσω
381,ἀνατυπόω,ἀνά,τυπόω
382,ἀνατυρβάζω,ἀνά,τυρβάζω
383,ἀνυφαίνω,ἀνά,ὑφαίνω
384,ἀνυμνέω,ἀνά,ὑμνέω
385,ἀνυψόω,ἀνά,ὑψόω
386,ἀνωθέω,ἀνά,ὠθέω
387,ἀνωρύομαι,ἀνά,ὠρύομαι
388,ἀναχάσκω,ἀνά,χάσκω
389,ἀναχάζω,ἀνά,χάζω
390,ἀναχαιτίζω,ἀνά,χαιτίζω
391,ἀναχέω,ἀνά,χέω
392,ἀναχνοαίνομαι,ἀνά,χνοαίνομαι
393,ἀναχώννυμι,ἀνά,χόω
394,ἀναχορεύω,ἀνά,χορεύω
395,ἀναχωνεύω,ἀνά,χωνεύω
396,ἀναχωρέω,ἀνά,χωρέω
397,ἀναχωρίζω,ἀνά,χωρίζω
398,ἀναψάω,ἀνά,ψάω
399,ἀναψηφίζω,ἀνά,ψηφίζω
400,ἀναψύχω,ἀνά,ψύχω
401,ἀναζάω,ἀνά,ζάω
402,ἀναζέω,ἀνά,ζέω
403,ἀναζεύγνυμι,ἀνά,ζεύγνυμι
404,ἀναζητέω,ἀνά,ζητέω
405,ἀναζώννυμι,ἀνά,ζώννυμι
406,ἀναζωγρέω,ἀνά,ζωγρέω
407,ἀναζωπυρέω,ἀνά,ζωπυρέω
408,ἀντανάγω,ἀντί-ἀνά,ἄγω
409,ἀνταναλίσκω,ἀντί-ἀνά,ἀναλίσκω
410,ἀνταναιρέω,ἀντί-ἀνά,αἱρέω
411,ἀνταναβιβάζω,ἀντί-ἀνά,βιβάζω
412,ἀντάνειμι,ἀντί-ἀνά,εἶμι
413,ἀντανίστημι,ἀντί-ἀνά,ἵστημι
414,ἀνταναμένω,ἀντί-ἀνά,μένω
415,ἀνταναπίμπλημι,ἀντί-ἀνά,πίμπλημι
416,ἀνταναπλέκω,ἀντί-ἀνά,πλέκω
417,ἀνταναπληρόω,ἀντί-ἀνά,πληρόω
418,ἀνταπαμείβομαι,ἀντί-ἀπό,ἀμείβω
419,ἀνταπαιτέω,ἀντί-ἀπό,αἰτέω
420,ἀνταποδείκνυμι,ἀντί-ἀπό,δείκνυμι
421,ἀνταποδίδωμι,ἀντί-ἀπό,δίδωμι
422,ἀνταπερύκω,ἀντί-ἀπό,ἐρύκω
423,ἀνταποφαίνω,ἀντί-ἀπό,φαίνω
424,ἀνταποκρίνομαι,ἀντί-ἀπό,κρίνω
425,ἀνταποκτείνω,ἀντί-ἀπό,κτείνω
426,ἀνταπολαμβάνω,ἀντί-ἀπό,λαμβάνω
427,ἀνταπόλλυμι,ἀντί-ἀπό,ὄλλυμι
428,ἀνταποτίω,ἀντί-ἀπό,τίω
429,ἀντιδιέξειμι,ἀντί-διά-ἐκ,εἶμι
430,ἀντιδιαβάλλω,ἀντί-διά,βάλλω
431,ἀντιδιαβαίνω,ἀντί-διά,βαίνω
432,ἀντιδιαπλέκω,ἀντί-διά,πλέκω
433,ἀντιδιατίθεμαι,ἀντί-διά,τίθημι
434,ἀντεξάγω,ἀντί-ἐκ,ἄγω
435,ἀντεξαιτέω,ἀντί-ἐκ,αἰτέω
436,ἀντεξέρχομαι,ἀντί-ἐκ,ἔρχομαι
437,ἀντεξελαύνω,ἀντί-ἐκ,ἐλαύνω
438,ἀντεξετάζω,ἀντί-ἐκ,ἐτάζω
439,ἀντεξιππεύω,ἀντί-ἐκ,ἱππεύω
440,ἀντεκκλέπτω,ἀντί-ἐκ,κλέπτω
441,ἀντεκκόπτω,ἀντί-ἐκ,κόπτω
442,ἀντεκπέμπω,ἀντί-ἐκ,πέμπω
443,ἀντεκπλέω,ἀντί-ἐκ,πλέω
444,ἀντεκτείνω,ἀντί-ἐκ,τείνω
445,ἀντεκτίθημι,ἀντί-ἐκ,τίθημι
446,ἀντεκτρέχω,ἀντί-ἐκ,τρέχω
447,ἀντεμβάλλω,ἀντί-ἐν,βάλλω
448,ἀντεμβιβάζω,ἀντί-ἐν,βιβάζω
449,ἀντενδίδωμι,ἀντί-ἐν,δίδωμι
450,ἀντεγγράφω,ἀντί-ἐν,γράφω
451,ἀντεγκαλέω,ἀντί-ἐν,καλέω
452,ἀντεμπήγνυμαι,ἀντί-ἐν,πήγνυμι
453,ἀντεμπίμπλημι,ἀντί-ἐν,πίμπλημι
454,ἀντεμπίμπρημι,ἀντί-ἐν,πίμπρημι
455,ἀντεπανάγομαι,ἀντί-ἐπί-ἀνά,ἄγω
456,ἀντεπαφίημι,ἀντί-ἐπί-ἀπό,ἵημι
457,ἀντεπεξάγω,ἀντί-ἐπί-ἐκ,ἄγω
458,ἀντεπεξέρχομαι,ἀντί-ἐπί-ἐκ,ἔρχομαι
459,ἀντεπεξελαύνω,ἀντί-ἐπί-ἐκ,ἐλαύνω
460,ἀντεπέξειμι,ἀντί-ἐπί-ἐκ,εἶμι
461,ἀντεπάγω,ἀντί-ἐπί,ἄγω
462,ἀντεπαινέω,ἀντί-ἐπί,αἰνέω
463,ἀντεπιβουλεύω,ἀντί-ἐπί,βουλεύω
